Index,Spell Title,Spells,Source Show,Spell Tags,Spell Description
185,Stupid Spell,"Be a dummy, be a fool. Switch off your brain so please don't drool",Sabrina The Teenage Witch,Stupid Spell dumb,
186,Turn Boys to Girls,"Mortal boys we have aplenta, for which fellas we need a Yenta",Sabrina The Teenage Witch,Turn Boys to Girls,
187,To Curse a Mean Witch,"You haven't been nice, you haven't been cordial, so for the next five minutes, you're gonna be mortal",Sabrina The Teenage Witch,To Curse a Mean Witch,
188,Restoration Spell,"Stuff is messy, this place is a zoo. Make things that need it, brand spanking new",Sabrina The Teenage Witch,Restoration Spell restore new fresh clean,
189,Cleaning Spell,"Here's a quiz I know I'll ace, put everything back in its rightful place",Sabrina The Teenage Witch,Cleaning Spell clean fresh mess organize messy,
190,To Make a Jock,"The team doesn't need a Harvey that's tame, so make him worthy of the Hall of Fame",Sabrina The Teenage Witch,To Make a Jock athletic athlete,
191,"Distance Spell","To keep us out of each other's faces, keep Libby away at least five paces",Sabrina The Teenage Witch,Distance Spell separate separation,
192,Optimism Spell,"To protect the heart from conflict and clashes, what we need are rose coloured glasses",Sabrina The Teenage Witch,Optimism Spell happy optimist,
193,To Grant Someone's Wish,"Their lives are so dry, here's what we'll do. Take whatever they wish and make it come true!",Sabrina The Teenage Witch,To Grant Someone's Wish,
194,Cheer Up Spell,"This teacher's blue and needs a lift, for all her trouble here's a gift",Sabrina The Teenage Witch,Cheer Up Spell optimism optimist happy,
195,Engagement Intentions Spell,"The proposal hints we will review, does this schlob want to marry you?",Sabrina The Teenage Witch,Wedding Indicator Cake proposal truth,
196,Work Faster Spell,"Step lively, step quick. Make me move lickety split",Sabrina The Teenage Witch,"'Double Time' - helps get work done twice as fast. . Step easy, step slow. Make me stop this 'go go go'","'Double Time' - helps get work done twice as fast. . Step easy, step slow. Make me stop this 'go go go'"
197,To Freeze People in Place,"Lindor, ramamanthas, insectus!",Bewitched,To Freeze People in Place,
198,Punish a Mean Man Spell,"Every tear my daughter has shed,Make buckets of water fall on his head",Bewitched,To Make it Rain on Darrin tears revenge vengeance tear,
199,To Make the Piano Play,"The Road to Mandalay,I beg you piano to play",Bewitched,To Make the Piano Play music,
200,To Light the Lighter,"I command with all my might,This wretched lighter now to light",Bewitched,To Light the Lighter burn fire,
201,To Light the Fireplace,"Twindling, kinding earn my praise,Fire burn with cheery blaze",Bewitched,To Light the Fireplace fire burn,
202,To Get Rid of the Artifical Grass,"Thunder, dunderSeven day wonder,Look below and see this blunder,Spirits old and roam the night,Take this greenery from my sight",Bewitched,To Get Rid of the Artifical Grass garden gardening green thumb,
203,To Zap Up Artificial Grass,"Hallow fallow roosters cry,As the sun climbs in the sky,As the spirits of the day are seen,Change this lawn to verdant green",Bewitched,To Zap Up Artificial Grass garden green thumb gardening,
204,To Zap Up Artificial Grass,"Phillison follison spirits that fly,Let me give it another try,Replace this velvety carpet of green,With artificial grass of wax and sheen",Bewitched,To Zap Up Artificial Grass garden green thumb gardening,
205,To Zap Up Santa's Elves,"Stars, sun, wind, and tideIn the heavens where you'll abide,Before your powers we do bow,Bring Santa's helpers here and now",Bewitched,To Zap Up Santa's Elves christmas,
206,To Zap Up Santa's Reindeer,"On Dasher, on Dancer, on Prancer and Vixen,On Comet, on Cupid, on Donner and Blitzen,On to the house where Santa is stuck,Be sure as you fly the antennas you duck",Bewitched,To Zap Up Santa's Reindeer christmas,
207,To Go Back in Time,"Time and tide,Wind and sea,Back to Banano's age go we,Master builder, cursed by fateEsmerelda's ancient date",Bewitched,To Go Back in Time history reverse past,
208,To Turn a Statue into a Man,"Though of marble you are carved,For a woman you are starved,So back to flesh and sinue,The fairest of them all will win you",Bewitched,To Turn a Statue into a Man animate life live,
209,To Levitate a Lamp,"Lamp, lamp on yonder table,Fly to me if you are able",Bewitched,To Levitate a Lamp,
210,To Send Them Back in Time,"Thunder lightning hail rain,Rummer dummer lummer bain,Backward turn backward oh time thy flight,Both of them go back and prove that I am right",Bewitched,To Send Them Back in Time history,
211,To Send Them Back in Time 2,"Thunder lightning hail rain,Rummer dummer lummer bain,Backward turn backward oh time thy flight,Again send them back and out of my sight",Bewitched,To Send Them Back in Time 2,
212,To Turn Someone into a Goat,"[Name of target] I don't like the way you gloat,So I'm turning you into a billy goat",Bewitched,To Turn Darrin into a Goat curse revenge vengeance,
213,To Make Someone Speak in Cliches,"Spirits north and spirits south,Let my spell control your mouth,Let [Name of target] find to his dismay,That all he speaks are now cliches",Bewitched,To Make Darrin Speak in Cliches curse,
214,To Send a Message into the Atmospheric Continuum,"Sparks fly up and fire rise,While the air, I do mesmerize,Find the one who cast the spell,And bring him to this ferny dell",Bewitched,To Send a Message into the Atmospheric Continuum,
215,To Turn the Venus de Milo into a Woman,"Marble Venus though you be,I will take thy marble heart from thee,And turn it into flame and fire,To light a mortal man's heart with desire",Bewitched,To Turn the Venus de Milo into a Woman life live animate,
216,Revenge for Tears Spell,"For every tear my daughter has shed,make buckets of water fall on your head",Bewitched,Revenge for Tears Spell,
217,To Make Someone Courteous,"Leave of laurel, pinch of saltBe considerate to a faultRoot of hemlock, stinger of beeGive him super courtesyPoliteness, manners, gallentry",Bewitched,To Make Darrin Courteous nice kind,
218,Portal Spell,"We call on the dreams of creatures and mortalTo heal the wound the world divideFrom now on each creature can create a portalAnd each of us are own path decide",Halloweentown,Portal Spell door transport teleport,
219,Summoning The Bus Spell,"Gesto exalious moonousNostay appelloUth a domous tamous",Halloweentown,Summoning The Bus Spell summon,
220,Cleaning Spell,"Resarous extractous liquidata contractousHoverix stebiculum conceta narcum",Halloweentown,Cleaning Spell clean messy organize organization mess dirty dirt,
221,Transformation Spell,"Alverix orcusTrans-frogamorphusSpotticus trotticus",Halloweentown,Transformation Spell transform,
222,Moving Spell,"Altmar akbarZanzibar calendula ",Halloweentown,moving spell move,
223,Transportation Spell,"Orphus paupusHabeas corpusTempu temporeNunc transportus",Halloweentown,Transportation Spell transport,
224,Enhancing Spell,"Inanimus eqqus Metamorphus Ipso facto bucking broncus",Halloweentown,Enhancing Spell enhance,
225,Continuance Spell,"Autorubum soloscrubum Bacillus virus eradicatum",Halloweentown,Continuance Spell long longer ,
226,Restoring Spell,"Retocatum ad futurusAdveneri historiamus",Halloweentown,Restoring Spell restore fix heal,
227,Appearing and Disappearing Spellsæ,"Manna tabularumpanus tabularum",Halloweentown,Appearing and Disappearing Spellsæ appear disappear visible invisible,
228,Hand of Corsheth,I shall look upon my enemy. I shall look upon her and the dark place will have her soul. Corsheth! Take her!æ,Buffy the Vampire Slayer,"Hand of Corshethæææææææææ The spell transports its target to a ""dark place"", a prison of some sort from which she cannot escape.","The spell transports its target to a ""dark place"", a prison of some sort from which she cannot escape."
229,Janus' Mask,"Janus, evoco vestram animam. Exaudi meam causam. Carpe noctem pro consilio vestro. Veni, appare et nobis monstra quod est infinita potestas. Persona se corpum et sanguium commutandum est. Vestra sancta praesentia concrescet viscera. Janus! Sume noctem!æ",Buffy the Vampire Slayer,Janus' Maskæææææææææ This spells transforms everyone who is wearing a specially prepared costume into the person or creature they are dressed as. It can effect hundreds of people.,This spells transforms everyone who is wearing a specially prepared costume into the person or creature they are dressed as. It can effect hundreds of people.
230,Diana's Curse,"Diana, goddess of love and the hunt, I pray to thee. Let my cries bind the heart of Xander's beloved. May she neither rest nor sleep until she submits to his will only. Diana! Bring about this love and bless it!æ",Buffy the Vampire Slayer,Diana's Curseæææææææææ A love spell.,A love spell.
231,Wasting Death,"Goddess Hecate, to you I pray, let my enemy shrivel and decay!æ",Buffy the Vampire Slayer,"Wasting Deathæææææææææ This spell causes the victim to be afflicted by a wasting disease that will first atrophy the muscles and decalcify the bones, then weaken the organs, and finally cause the victim to shrivel up like a prune and croak.","This spell causes the victim to be afflicted by a wasting disease that will first atrophy the muscles and decalcify the bones, then weaken the organs, and finally cause the victim to shrivel up like a prune and croak."
232,Revoke Invitation,"...his verbes, consensus recissus est.æ",Buffy the Vampire Slayer,"Revoke Invitationæææææææææ This spell undoes an invitation into a home, making it impossible for a vampire to enter until he is again invited.","This spell undoes an invitation into a home, making it impossible for a vampire to enter until he is again invited."
233,Ritual of Restoration,"Quod perditum est, invenietur. Not dead... nor not of the living. Spirits of the interregnum, I call. Gods, bind him. Cast his heart from the evil realm. Te implor, Doamne, nu ignora aceasta rugaminte. Nici mort, nici al fiintei... Lasa orbita sa fie vasul care-i va transporta, sufletul la el. Asa sa fie! Asa sa fie! Acum! Acum!æ",Buffy the Vampire Slayer,"Ritual of Restorationæææææææææ The targeted vampire's soul is restored. She is still a vampire, but has all the goodies that go along with humanity such as conscience, guilt, and remorse.","The targeted vampire's soul is restored. She is still a vampire, but has all the goodies that go along with humanity such as conscience, guilt, and remorse."
234,Flame of Life,"Exorere, Flamma Vitae. Prodi ex loco tuo elementorum, in hunc mundum vivorum.æ",Buffy the Vampire Slayer,Flame of Lifeæææææææææ This creates a living flame which can burn and destroy any object.,This creates a living flame which can burn and destroy any object.
235,Summon Wish Demon,"Anyanka, I beseech thee. In the name of all women scorned, Come before me!æ",Buffy the Vampire Slayer,Summon Wish Demonæææææææææ Summons the wish demon Anyanka.,Summons the wish demon Anyanka.
236,True Form,"Ihr Goetter, ruft Euch an! Verbergt Euch nicht hinter falschen Gesichtern!æ",Buffy the Vampire Slayer,True Formæææææææææ This spell causes a demon to revert from any illusion or transformation into its true form.,This spell causes a demon to revert from any illusion or transformation into its true form.
237,Zombie Creation,"He calls forth the Spirit of Uurthu, the restless. No one shall speak. He shall arise! Hear me... The blood of the Earth shall restore him... And he shall arise. Shall arise!æ",Buffy the Vampire Slayer,Zombie Creationæææææææææ This calls a zombie back from the grave. ,This calls a zombie back from the grave. 
238,Dissolution,"Sis modo dissolutum exposco, validum scutum! Diutius nec defende a manibus arcam, intende!æ",Buffy the Vampire Slayer,Dissolutionæææææææææ This spells breaks down magical barriers.,This spells breaks down magical barriers.
239,Soul Reversion,"Hear me, Elders of the Upper Reaches, Elders of the Lower Reaches, Elders of the Dry Land, Elders of the River Flats, ... The soul that is trapped, let it revert to its true seat.æ",Buffy the Vampire Slayer,Soul Reversionæææææææææ This spell fully reverts a trapped soul to the body of its proper owner.,This spell fully reverts a trapped soul to the body of its proper owner.
240,Light of Guidance,"Aradia, Goddess of the lost, the path is murky, the woods are dense, darkness pervades, I beseech thee, bring the light.æ",Buffy the Vampire Slayer,Light of Guidanceæææææææææ The caster summons a tiny light which will guide her to any place or anyone which she reasonably knows or can describe.,The caster summons a tiny light which will guide her to any place or anyone which she reasonably knows or can describe.
241,Force of Will,"Harken all ye elements, I summon thee now. Control the outside, control within. Land and sea, fire and wind. Out of my passions, a web be spun. From this eve forth, my will be done. So mote it be.æ",Buffy the Vampire Slayer,Force of Willæææææææææ This is a spell for a spellcaster to have her will done.,This is a spell for a spellcaster to have her will done.
242,Truth Spell,"Elobe, enemy, be now, quiet. Let your decietful tongue be...Let no... untruths be spoken...æ",Buffy the Vampire Slayer,Truth Spellæææææææææ This spell forces the target to tell the truth.,This spell forces the target to tell the truth.
243,Light,Fiat Lux!,Buffy the Vampire Slayer,Lightæææææææææ This lights a room or cave-sized area with a soft diffuse light.,This lights a room or cave-sized area with a soft diffuse light.
244,Ghost Warrior Summoning,"First people who dwell in mishupashup, hear me and descend. Walk with me upon itiashup again. Hear me also, nunashush. Spirits from below... Creatures of the night... Take human form and join the battle. Bring me my revenge!æ",Buffy the Vampire Slayer,Ghost Warrior Summoningæææææææææ This spells summons spirits of the dead to material form for vengeance purposes.,This spells summons spirits of the dead to material form for vengeance purposes.
245,Ionization,"Tropo, strato, meso, aero, iono, exo... Elements are brought to bear. Wind, earth, and water churn amidst the fire. Let the air be burned.æ",Buffy the Vampire Slayer,"Ionizationæææææææææ Ionizes the atmosphere, obscuring radio signals, making hair look funny, and possibly other effects.","Ionizes the atmosphere, obscuring radio signals, making hair look funny, and possibly other effects."
246,Adamanteus Aer (Steel Air),Thicken!æ,Buffy the Vampire Slayer,Adamanteus Aer (Steel Air)æææææææææ This spell causes the air to harden into a barrier as strong as an inch of steel plate.,This spell causes the air to harden into a barrier as strong as an inch of steel plate.
247,Fist of Air,Air become Fist (spoken in Russian)æ,Buffy the Vampire Slayer,Fist of Airæææææææææ This spell strikes the target with a physical force of solidified air.,This spell strikes the target with a physical force of solidified air.
248,Protective Wall,"Enemies, fly and fall...circling arms, raise a wall!æ",Buffy the Vampire Slayer,Protective Wall,
249,Tabula Rasa Level 1,Forgetæ,Buffy the Vampire Slayer,Tabula Rasa Level 1æææææææææ The target of this spell loses a specific memory.,The target of this spell loses a specific memory.
250,Tabula Rasa Level 2,"For Buffy and Tara, this I char. Let Lethe's bramble do its chore. Purge their minds of memories grim, Of pains from recent slights and sins. When the fire burns out, when the crystal turns black, the spell will be cast. Tabula Rasa, Tabula Rasa, Tabula Rasa.æ",Buffy the Vampire Slayer,Tabula Rasa Level 2æææææææææ The target(s) of this spell loose all memories related to a specific event or emotion.,The target(s) of this spell loose all memories related to a specific event or emotion.
251,Lagomorpic Summoning,"Bara bara himble gemination or Hible abri, abri voyonæ",Buffy the Vampire Slayer,Lagomorpic Summoningæææææææææ This spell summons rabbits.,This spell summons rabbits.
252,Blessing of Shamash,"Gurumeh ninginmeh, nugulgulah, gurumeh ninginmeh, chehmeh dulduleh.æ",Buffy the Vampire Slayer,Blessing of Shamashæææææææææ The target of this spell is shielded from magical damage.,The target of this spell is shielded from magical damage.
253,Strength of Magic,da mihi vim (Latin for give me strength)æ,Buffy the Vampire Slayer,Strength of Magicæææææææææ This spell grants the caster superhuman physical abilities.,This spell grants the caster superhuman physical abilities.
